,ID,City,State,Latitude,Longitude,PlaceName,PlaceAddress,PlaceRating,PlaceLatitude,PlaceLongitude
0,1,Belton,Missouri,38.8119527,-94.5318982,Chinese Palace Restaurant,"10136 W 119th St, Overland Park",4.2,38.9141081,-94.7026781
1,2,Belton,Missouri,38.8119527,-94.5318982,China One Express,"11176 Antioch Rd, Overland Park",3.2,38.925203,-94.6874809
2,3,Belton,Missouri,38.8119527,-94.5318982,Joy Wok,"11920 Metcalf Ave, Overland Park",3.9,38.9117877,-94.66822160000001
3,4,Belton,Missouri,38.8119527,-94.5318982,China King,"3634 W 135th St, Overland Park",4.5,38.884138,-94.626852
4,5,Belton,Missouri,38.8119527,-94.5318982,China Dragon,"529 E Red Bridge Rd, Kansas City",3.8,38.9253199,-94.58536169999999
5,6,Gardner,Kansas,38.8108408,-94.9271868,China Buffet,"2030 E Santa Fe St, Olathe",3.9,38.885063,-94.7807514
6,7,Gardner,Kansas,38.8108408,-94.9271868,Tea Garden,"12755 S Mur-Len Rd, Olathe",4.4,38.8973966,-94.7785061
7,8,Gardner,Kansas,38.8108408,-94.9271868,Master Wok,"14947 W 119th St, Olathe",4.4,38.911492,-94.7593323
8,9,Gardner,Kansas,38.8108408,-94.9271868,Golden Palace Chinese Restaurant,"1711 S Mur-Len Rd, Olathe",4.4,38.8560624,-94.78059209999999
9,10,Gardner,Kansas,38.8108408,-94.9271868,Asian Pearl Restaurant,"9532, 18138 W 119th St, Olathe",4.1,38.913049,-94.795692
10,11,Gladstone,Missouri,39.2038918,-94.554677,Bo Lings,"20 E 5th St, Kansas City",3.9,39.1086335,-94.58239359999999
11,12,Gladstone,Missouri,39.2038918,-94.554677,Tao Tao,"4308, 1300 Minnesota Ave, Kansas City",4.5,39.1156738,-94.64338579999999
12,13,Gladstone,Missouri,39.2038918,-94.554677,Green River Chinese Restaurant,"2120 E 12th St, Kansas City",3.8,39.099462,-94.556524
13,14,Gladstone,Missouri,39.2038918,-94.554677,Iron Wok Chinese Restaurant,"6411 NW 72nd St, Kansas City",4.2,39.2246702,-94.6525826
14,15,Gladstone,Missouri,39.2038918,-94.554677,China Wok,"6048 NW Barry Rd, Kansas City",4.1,39.2491441,-94.6505614
15,16,Grandview,Missouri,38.8858407,-94.5330096,Chinese Palace Restaurant,"10136 W 119th St, Overland Park",4.2,38.9141081,-94.7026781
16,17,Grandview,Missouri,38.8858407,-94.5330096,China Rose Chinese Restaurant,"9536 Antioch Rd, Overland Park",4.5,38.9553569,-94.6869964
17,18,Grandview,Missouri,38.8858407,-94.5330096,Jasmine Garden Chinese Restaurant,"8912 W 95th St, Overland Park",4.6,38.9572893,-94.689105
18,19,Grandview,Missouri,38.8858407,-94.5330096,Jen Jens Authentic Chinese Restaurant,"9066 Metcalf Ave, Overland Park",4.1,38.964768,-94.67006099999999
19,20,Grandview,Missouri,38.8858407,-94.5330096,ABC Cafe,"10001 W 87th St, Overland Park",4.7,38.970721,-94.70171099999999
20,21,Independence,Missouri,39.0911161,-94.41550679999999,Lao Peking Chinese Restaurant,"1020 S Sterling Ave A, Independence",3.9,39.09637,-94.44592100000001
21,22,Independence,Missouri,39.0911161,-94.41550679999999,New Mandarin House Chinese Restaurant,"1643 West 23rd St S, Independence",3.8,39.0796353,-94.4369607
22,23,Independence,Missouri,39.0911161,-94.41550679999999,China Town,"9440 E State Rte 350, Raytown",4.1,38.99285340000001,-94.46954439999999
23,24,Independence,Missouri,39.0911161,-94.41550679999999,Mama Garden,"4400 S Noland Rd, Independence",4.0,39.040232,-94.415964
24,25,Independence,Missouri,39.0911161,-94.41550679999999,Golden Rice Chinese Restaurant,"1435 S Noland Rd, Independence",4.0,39.07382860000001,-94.4135503
25,26,Kansas City,Kansas,39.11553139999999,-94.62678729999999,Jade Bowl Chinese Restaurant,"8881 W 75th St, Overland Park",4.0,38.9924751,-94.6888827
26,27,Kansas City,Kansas,39.11553139999999,-94.62678729999999,Dragon Inn,"7500 W 80th St, Overland Park",4.4,38.9841552,-94.672522
27,28,Kansas City,Kansas,39.11553139999999,-94.62678729999999,Sang Sang Asian Express,"10904 W 75th Terrace, Shawnee",4.5,38.9932629,-94.7121147
28,29,Kansas City,Kansas,39.11553139999999,-94.62678729999999,Blue Koi Noodles & Dumplings,"1803 W 39th St, Kansas City",4.6,39.057174,-94.606402
29,30,Kansas City,Kansas,39.11553139999999,-94.62678729999999,Pine & Bamboo Garden,"10915 Shawnee Mission Pkwy, Shawnee",4.4,39.0143893,-94.7129751
30,31,Kansas City,Missouri,39.0997265,-94.5785667,Jen Jens Authentic Chinese Restaurant,"9066 Metcalf Ave, Overland Park",4.1,38.964768,-94.67006099999999
31,32,Kansas City,Missouri,39.0997265,-94.5785667,ABC Cafe,"10001 W 87th St, Overland Park",4.7,38.970721,-94.70171099999999
32,33,Kansas City,Missouri,39.0997265,-94.5785667,Jade Bowl Chinese Restaurant,"8881 W 75th St, Overland Park",4.0,38.9924751,-94.6888827
33,34,Kansas City,Missouri,39.0997265,-94.5785667,Dragon Inn,"7500 W 80th St, Overland Park",4.4,38.9841552,-94.672522
34,35,Kansas City,Missouri,39.0997265,-94.5785667,Moon Wok,"12251 W 87th St Pkwy, Lenexa",4.4,38.970268,-94.727471
35,36,Leawood,Kansas,38.966673,-94.6169012,Chinese Palace Restaurant,"10136 W 119th St, Overland Park",4.2,38.9141081,-94.7026781
36,37,Leawood,Kansas,38.966673,-94.6169012,Asian House restaurant,"11729 College Blvd, Overland Park",4.5,38.9265932,-94.7216699
37,38,Leawood,Kansas,38.966673,-94.6169012,China Inn Restaurant,"13412 College Blvd, Overland Park",4.2,38.9290207,-94.7414002
38,39,Leawood,Kansas,38.966673,-94.6169012,Joy Food,"11920 W 119th St, Overland Park",3.5,38.913342,-94.725139
39,40,Leawood,Kansas,38.966673,-94.6169012,China One Express,"11176 Antioch Rd, Overland Park",3.2,38.925203,-94.6874809
40,41,Lee's Summit,Missouri,38.9108408,-94.3821724,China Dragon J Chinese Restaurant,"436 SW Ward Rd, Lee's Summit",3.7,38.9083746,-94.3973898
41,42,Lee's Summit,Missouri,38.9108408,-94.3821724,China King,"305 NE SE Todd George Pkwy, Lee's Summit",4.5,38.9179002,-94.33818869999999
