,ID,City,State,Latitude,Longitude,Place Name,Place Address,Place Rating,Place Latitude,Place Longitude
0,1,Belton,Missouri,38.8119527,-94.5318982,Life Time Fitness,"16851 West 90th Street, Lenexa",3.9,38.9641885,-94.7812141
1,2,Belton,Missouri,38.8119527,-94.5318982,24 Hour Fitness,"12075 Metcalf Avenue, Overland Park",3.3,38.9097999,-94.6662766
2,3,Belton,Missouri,38.8119527,-94.5318982,New Century Fieldhouse,"551 New Century Parkway, New Century",4.5,38.8190627,-94.9027819
3,4,Belton,Missouri,38.8119527,-94.5318982,Genesis Health Club,"13370 South Blackfoot Drive, Olathe",3.2,38.8854697,-94.7660611
4,5,Belton,Missouri,38.8119527,-94.5318982,68's INSIDE SPORTS,"11301 West 88th Street, Overland Park",3.9,38.967876,-94.716948
5,6,Gardner,Kansas,38.8108408,-94.9271868,Life Time Fitness,"16851 West 90th Street, Lenexa",3.9,38.9641885,-94.7812141
6,7,Gardner,Kansas,38.8108408,-94.9271868,24 Hour Fitness,"12075 Metcalf Avenue, Overland Park",3.3,38.9097999,-94.6662766
7,8,Gardner,Kansas,38.8108408,-94.9271868,New Century Fieldhouse,"551 New Century Parkway, New Century",4.5,38.8190627,-94.9027819
8,9,Gardner,Kansas,38.8108408,-94.9271868,Genesis Health Club,"13370 South Blackfoot Drive, Olathe",3.2,38.8854697,-94.7660611
9,10,Gardner,Kansas,38.8108408,-94.9271868,68's INSIDE SPORTS,"11301 West 88th Street, Overland Park",3.9,38.967876,-94.716948
10,11,Gladstone,Missouri,39.2038918,-94.554677,Life Time Fitness,"16851 West 90th Street, Lenexa",3.9,38.9641885,-94.7812141
11,12,Gladstone,Missouri,39.2038918,-94.554677,24 Hour Fitness,"12075 Metcalf Avenue, Overland Park",3.3,38.9097999,-94.6662766
12,13,Gladstone,Missouri,39.2038918,-94.554677,68's INSIDE SPORTS,"11301 West 88th Street, Overland Park",3.9,38.967876,-94.716948
13,14,Gladstone,Missouri,39.2038918,-94.554677,Genesis Health Club,"13370 South Blackfoot Drive, Olathe",3.2,38.8854697,-94.7660611
14,15,Gladstone,Missouri,39.2038918,-94.554677,Top Athlete Performance,"12140 West 135th Street, Overland Park",5.0,38.885685,-94.72653299999999
15,16,Grandview,Missouri,38.8858407,-94.5330096,Life Time Fitness,"16851 West 90th Street, Lenexa",3.9,38.9641885,-94.7812141
16,17,Grandview,Missouri,38.8858407,-94.5330096,24 Hour Fitness,"12075 Metcalf Avenue, Overland Park",3.3,38.9097999,-94.6662766
17,18,Grandview,Missouri,38.8858407,-94.5330096,New Century Fieldhouse,"551 New Century Parkway, New Century",4.5,38.8190627,-94.9027819
18,19,Grandview,Missouri,38.8858407,-94.5330096,Genesis Health Club,"13370 South Blackfoot Drive, Olathe",3.2,38.8854697,-94.7660611
19,20,Grandview,Missouri,38.8858407,-94.5330096,68's INSIDE SPORTS,"11301 West 88th Street, Overland Park",3.9,38.967876,-94.716948
20,21,Independence,Missouri,39.0911161,-94.41550679999999,Life Time Fitness,"16851 West 90th Street, Lenexa",3.9,38.9641885,-94.7812141
21,22,Independence,Missouri,39.0911161,-94.41550679999999,24 Hour Fitness,"12075 Metcalf Avenue, Overland Park",3.3,38.9097999,-94.6662766
22,23,Independence,Missouri,39.0911161,-94.41550679999999,68's INSIDE SPORTS,"11301 West 88th Street, Overland Park",3.9,38.967876,-94.716948
23,24,Independence,Missouri,39.0911161,-94.41550679999999,Genesis Health Club,"13370 South Blackfoot Drive, Olathe",3.2,38.8854697,-94.7660611
24,25,Independence,Missouri,39.0911161,-94.41550679999999,Top Athlete Performance,"12140 West 135th Street, Overland Park",5.0,38.885685,-94.72653299999999
25,26,Kansas City,Kansas,39.11553139999999,-94.62678729999999,Life Time Fitness,"16851 West 90th Street, Lenexa",3.9,38.9641885,-94.7812141
26,27,Kansas City,Kansas,39.11553139999999,-94.62678729999999,24 Hour Fitness,"12075 Metcalf Avenue, Overland Park",3.3,38.9097999,-94.6662766
27,28,Kansas City,Kansas,39.11553139999999,-94.62678729999999,Genesis Health Club,"13370 South Blackfoot Drive, Olathe",3.2,38.8854697,-94.7660611
28,29,Kansas City,Kansas,39.11553139999999,-94.62678729999999,68's INSIDE SPORTS,"11301 West 88th Street, Overland Park",3.9,38.967876,-94.716948
29,30,Kansas City,Kansas,39.11553139999999,-94.62678729999999,New Century Fieldhouse,"551 New Century Parkway, New Century",4.5,38.8190627,-94.9027819
30,31,Kansas City,Missouri,39.0997265,-94.5785667,Life Time Fitness,"16851 West 90th Street, Lenexa",3.9,38.9641885,-94.7812141
31,32,Kansas City,Missouri,39.0997265,-94.5785667,24 Hour Fitness,"12075 Metcalf Avenue, Overland Park",3.3,38.9097999,-94.6662766
32,33,Kansas City,Missouri,39.0997265,-94.5785667,Genesis Health Club,"13370 South Blackfoot Drive, Olathe",3.2,38.8854697,-94.7660611
33,34,Kansas City,Missouri,39.0997265,-94.5785667,68's INSIDE SPORTS,"11301 West 88th Street, Overland Park",3.9,38.967876,-94.716948
34,35,Kansas City,Missouri,39.0997265,-94.5785667,Top Athlete Performance,"12140 West 135th Street, Overland Park",5.0,38.885685,-94.72653299999999
35,36,Leawood,Kansas,38.966673,-94.6169012,Life Time Fitness,"16851 West 90th Street, Lenexa",3.9,38.9641885,-94.7812141
36,37,Leawood,Kansas,38.966673,-94.6169012,24 Hour Fitness,"12075 Metcalf Avenue, Overland Park",3.3,38.9097999,-94.6662766
37,38,Leawood,Kansas,38.966673,-94.6169012,New Century Fieldhouse,"551 New Century Parkway, New Century",4.5,38.8190627,-94.9027819
38,39,Leawood,Kansas,38.966673,-94.6169012,Genesis Health Club,"13370 South Blackfoot Drive, Olathe",3.2,38.8854697,-94.7660611
39,40,Leawood,Kansas,38.966673,-94.6169012,68's INSIDE SPORTS,"11301 West 88th Street, Overland Park",3.9,38.967876,-94.716948
40,41,Lee's Summit,Missouri,38.9108408,-94.3821724,Life Time Fitness,"16851 West 90th Street, Lenexa",3.9,38.9641885,-94.7812141
41,42,Lee's Summit,Missouri,38.9108408,-94.3821724,24 Hour Fitness,"12075 Metcalf Avenue, Overland Park",3.3,38.9097999,-94.6662766
42,43,Lee's Summit,Missouri,38.9108408,-94.3821724,Genesis Health Club,"13370 South Blackfoot Drive, Olathe",3.2,38.8854697,-94.7660611
43,44,Lee's Summit,Missouri,38.9108408,-94.3821724,68's INSIDE SPORTS,"11301 West 88th Street, Overland Park",3.9,38.967876,-94.716948
44,45,Lee's Summit,Missouri,38.9108408,-94.3821724,Top Athlete Performance,"12140 West 135th Street, Overland Park",5.0,38.885685,-94.72653299999999
45,46,Lenexa,Kansas,38.9536174,-94.73357089999999,Life Time Fitness,"16851 West 90th Street, Lenexa",3.9,38.9641885,-94.7812141
46,47,Lenexa,Kansas,38.9536174,-94.73357089999999,24 Hour Fitness,"12075 Metcalf Avenue, Overland Park",3.3,38.9097999,-94.6662766
47,48,Lenexa,Kansas,38.9536174,-94.73357089999999,New Century Fieldhouse,"551 New Century Parkway, New Century",4.5,38.8190627,-94.9027819
48,49,Lenexa,Kansas,38.9536174,-94.73357089999999,Genesis Health Club,"13370 South Blackfoot Drive, Olathe",3.2,38.8854697,-94.7660611
49,50,Lenexa,Kansas,38.9536174,-94.73357089999999,68's INSIDE SPORTS,"11301 West 88th Street, Overland Park",3.9,38.967876,-94.716948
50,51,Liberty,Missouri,39.2461138,-94.4191177,Life Time Fitness,"16851 West 90th Street, Lenexa",3.9,38.9641885,-94.7812141
51,52,Liberty,Missouri,39.2461138,-94.4191177,24 Hour Fitness,"12075 Metcalf Avenue, Overland Park",3.3,38.9097999,-94.6662766
52,53,Liberty,Missouri,39.2461138,-94.4191177,68's INSIDE SPORTS,"11301 West 88th Street, Overland Park",3.9,38.967876,-94.716948
53,54,Liberty,Missouri,39.2461138,-94.4191177,Anytime Fitness,"7000 Northwest 83 Street, Kansas City",4.4,39.2444074,-94.66147850000002
54,55,Liberty,Missouri,39.2461138,-94.4191177,"Linwood YMCA/James B. Nutter, Sr. Community Center","3800 Linwood Boulevard, Kansas City",4.4,39.0681166,-94.5387449
55,56,Merriam,Kansas,39.0236165,-94.6935701,Life Time Fitness,"16851 West 90th Street, Lenexa",3.9,38.9641885,-94.7812141
56,57,Merriam,Kansas,39.0236165,-94.6935701,24 Hour Fitness,"12075 Metcalf Avenue, Overland Park",3.3,38.9097999,-94.6662766
57,58,Merriam,Kansas,39.0236165,-94.6935701,New Century Fieldhouse,"551 New Century Parkway, New Century",4.5,38.8190627,-94.9027819
58,59,Merriam,Kansas,39.0236165,-94.6935701,Genesis Health Club,"13370 South Blackfoot Drive, Olathe",3.2,38.8854697,-94.7660611
59,60,Merriam,Kansas,39.0236165,-94.6935701,68's INSIDE SPORTS,"11301 West 88th Street, Overland Park",3.9,38.967876,-94.716948
60,61,Mission,Kansas,39.0277832,-94.6557914,Life Time Fitness,"16851 West 90th Street, Lenexa",3.9,38.9641885,-94.7812141
61,62,Mission,Kansas,39.0277832,-94.6557914,24 Hour Fitness,"12075 Metcalf Avenue, Overland Park",3.3,38.9097999,-94.6662766
62,63,Mission,Kansas,39.0277832,-94.6557914,New Century Fieldhouse,"551 New Century Parkway, New Century",4.5,38.8190627,-94.9027819
63,64,Mission,Kansas,39.0277832,-94.6557914,Genesis Health Club,"13370 South Blackfoot Drive, Olathe",3.2,38.8854697,-94.7660611
64,65,Mission,Kansas,39.0277832,-94.6557914,68's INSIDE SPORTS,"11301 West 88th Street, Overland Park",3.9,38.967876,-94.716948
65,66,North Kansas City,Missouri,39.14290810000001,-94.5729781,Life Time Fitness,"16851 West 90th Street, Lenexa",3.9,38.9641885,-94.7812141
66,67,North Kansas City,Missouri,39.14290810000001,-94.5729781,24 Hour Fitness,"12075 Metcalf Avenue, Overland Park",3.3,38.9097999,-94.6662766
67,68,North Kansas City,Missouri,39.14290810000001,-94.5729781,Genesis Health Club,"13370 South Blackfoot Drive, Olathe",3.2,38.8854697,-94.7660611
68,69,North Kansas City,Missouri,39.14290810000001,-94.5729781,68's INSIDE SPORTS,"11301 West 88th Street, Overland Park",3.9,38.967876,-94.716948
