,ID,City,State,Latitude,Longitude,PlaceName,PlaceAddress,PlaceRating,PlaceLatitude,PlaceLongitude
0,1,Belton,Missouri,38.8119527,-94.5318982,Tortilla Ranch Mexican Grill,"8617 College Blvd, Overland Park",4.5,38.9268386,-94.6843858
1,2,Belton,Missouri,38.8119527,-94.5318982,K-Macho's Mexican Grill and Cantina,"11741 Metcalf Ave, Overland Park",4.4,38.9144657,-94.6673581
2,3,Belton,Missouri,38.8119527,-94.5318982,El Fogón Overland Park,"10450 Metcalf Ave, Overland Park",4.4,38.9388623,-94.669564
3,4,Belton,Missouri,38.8119527,-94.5318982,Jose Pepper's Mexican Restaurant,"10316 Metcalf Ave, Overland Park",4.3,38.9411068,-94.66951689999999
4,5,Belton,Missouri,38.8119527,-94.5318982,Mi Ranchito,"8550 151st St, Overland Park",4.3,38.856107,-94.685807
5,6,Gardner,Kansas,38.8108408,-94.9271868,Oscar's Authentic Mexican Grill,"2034 E Santa Fe St, Olathe",4.8,38.8850858,-94.7805561
6,7,Gardner,Kansas,38.8108408,-94.9271868,Chapala Mexican Restaurant,"105 S Clairborne Rd, Olathe",4.2,38.88215900000001,-94.789541
7,8,Gardner,Kansas,38.8108408,-94.9271868,Jose Pepper's Mexican Restaurant,"13770 S Black Bob Rd, Olathe",4.3,38.8800474,-94.7615898
8,9,Gardner,Kansas,38.8108408,-94.9271868,K-Macho's Mexican Grill and Cantina,"1229 E Santa Fe St, Olathe",4.5,38.882701,-94.79775099999999
9,10,Gardner,Kansas,38.8108408,-94.9271868,La Carreta,"16521 W 159th Terrace, Olathe",4.4,38.8390506,-94.77793989999999
10,11,Gladstone,Missouri,39.2038918,-94.554677,Manny's Mexican Restaurant,"207 Southwest Blvd, Kansas City",4.3,39.0890282,-94.58667919999999
11,12,Gladstone,Missouri,39.2038918,-94.554677,Ponak's Mexican Kitchen & Bar,"2856 Southwest Blvd, Kansas City",4.4,39.0756521,-94.6032281
12,13,Gladstone,Missouri,39.2038918,-94.554677,Teocali,"2512 Holmes St, Kansas City",4.1,39.081007,-94.57612999999999
13,14,Gladstone,Missouri,39.2038918,-94.554677,Daisys Mexican Food #1,"1101 Kansas Ave, Kansas City",4.5,39.0872556,-94.6381006
14,15,Gladstone,Missouri,39.2038918,-94.554677,El Pollo Rey,"901 Kansas Ave, Kansas City",4.6,39.087198,-94.6318392
15,16,Grandview,Missouri,38.8858407,-94.5330096,Tortilla Ranch Mexican Grill,"8617 College Blvd, Overland Park",4.5,38.9268386,-94.6843858
16,17,Grandview,Missouri,38.8858407,-94.5330096,Torreon Mexican Restaurant,"9129 Elmhurst Dr, Overland Park",4.4,38.9719408,-94.6917407
17,18,Grandview,Missouri,38.8858407,-94.5330096,K-Macho's Mexican Grill and Cantina,"11741 Metcalf Ave, Overland Park",4.4,38.9144657,-94.6673581
18,19,Grandview,Missouri,38.8858407,-94.5330096,El Fogón Overland Park,"10450 Metcalf Ave, Overland Park",4.4,38.9388623,-94.669564
19,20,Grandview,Missouri,38.8858407,-94.5330096,Dos Reales Mexican Restaurant,"8841 W 75th St, Overland Park",4.2,38.9924541,-94.6882485
20,21,Independence,Missouri,39.0911161,-94.41550679999999,Manny's Mexican Restaurant,"207 Southwest Blvd, Kansas City",4.3,39.0890282,-94.58667919999999
21,22,Independence,Missouri,39.0911161,-94.41550679999999,Fiesta Azteca Mexican Restaurant,"6640 Raytown Rd, Raytown",4.5,39.00169380000001,-94.46433549999999
22,23,Independence,Missouri,39.0911161,-94.41550679999999,Machetes Authentic Mexican Food,"9104 East 35th St S, Independence",4.4,39.0600737,-94.471165
23,24,Independence,Missouri,39.0911161,-94.41550679999999,Teocali,"2512 Holmes St, Kansas City",4.1,39.081007,-94.57612999999999
24,25,Independence,Missouri,39.0911161,-94.41550679999999,El Maguey Mexican Restaurant,"6600 Raytown Rd, Raytown",4.3,39.0032484,-94.4641135
25,26,Kansas City,Kansas,39.11553139999999,-94.62678729999999,Dos Reales Mexican Restaurant,"8841 W 75th St, Overland Park",4.2,38.9924541,-94.6882485
26,27,Kansas City,Kansas,39.11553139999999,-94.62678729999999,Fronteras Mexican Restaurant and Cantina,"7779 Quivira Rd, Lenexa",4.4,38.9870578,-94.722614
27,28,Kansas City,Kansas,39.11553139999999,-94.62678729999999,Mi Ranchito,"7148 W 80th St, Overland Park",4.3,38.9842827,-94.66862479999999
28,29,Kansas City,Kansas,39.11553139999999,-94.62678729999999,Jalapenos Mexican Restaurant,"6318 Brookside Plaza, Kansas City",4.3,39.0132528,-94.5908599
29,30,Kansas City,Kansas,39.11553139999999,-94.62678729999999,Torreador Mexican Restaurant,"7926 Floyd St, Shawnee Mission",4.2,38.9848677,-94.6692734
30,31,Kansas City,Missouri,39.0997265,-94.5785667,Torreon Mexican Restaurant,"9129 Elmhurst Dr, Overland Park",4.4,38.9719408,-94.6917407
31,32,Kansas City,Missouri,39.0997265,-94.5785667,Dos Reales Mexican Restaurant,"8841 W 75th St, Overland Park",4.2,38.9924541,-94.6882485
32,33,Kansas City,Missouri,39.0997265,-94.5785667,Fronteras Mexican Restaurant and Cantina,"7779 Quivira Rd, Lenexa",4.4,38.9870578,-94.722614
33,34,Kansas City,Missouri,39.0997265,-94.5785667,Mi Ranchito,"7148 W 80th St, Overland Park",4.3,38.9842827,-94.66862479999999
34,35,Kansas City,Missouri,39.0997265,-94.5785667,Torreador Mexican Restaurant,"7926 Floyd St, Shawnee Mission",4.2,38.9848677,-94.6692734
35,36,Leawood,Kansas,38.966673,-94.6169012,Tequila Harry's Mexican Restaurant,"11817 College Blvd, Overland Park",4.0,38.92645479999999,-94.7229557
36,37,Leawood,Kansas,38.966673,-94.6169012,Tortilla Ranch Mexican Grill,"8617 College Blvd, Overland Park",4.5,38.9268386,-94.6843858
37,38,Leawood,Kansas,38.966673,-94.6169012,Mi Ranchito,"14154 W 119th St, Olathe",4.4,38.9132892,-94.74983619999999
38,39,Leawood,Kansas,38.966673,-94.6169012,K-Macho's Mexican Grill and Cantina,"11741 Metcalf Ave, Overland Park",4.4,38.9144657,-94.6673581
