,ID,City,State,Latitude,Longitude,Place Name,Place Address,Place Rating,Place Latitude,Place Longitude
0,1,Belton,Missouri,38.8119527,-94.5318982,Avila University,"11901 Wornall Road, Kansas City",4.1,38.91236430000001,-94.59146989999999
1,2,Belton,Missouri,38.8119527,-94.5318982,Raymore-Peculiar High School,"20801 South School Road, Peculiar",3.4,38.7453053,-94.4578006
2,3,Belton,Missouri,38.8119527,-94.5318982,Grandview High School,"2300 High Grove Road, Grandview",3.9,38.8877195,-94.51394289999999
3,4,Belton,Missouri,38.8119527,-94.5318982,Blue Valley High School,"6001 West 159th Street, Stilwell",4.1,38.83895299999999,-94.6558259
4,5,Belton,Missouri,38.8119527,-94.5318982,Lee's Summit West High School,"2600 Southwest Ward Road, Lee's Summit",3.8,38.87322699999999,-94.39903699999999
5,6,Gardner,Kansas,38.8108408,-94.9271868,Olathe North High School,"600 East Prairie Street, Olathe",3.6,38.8875164,-94.8082785
6,7,Gardner,Kansas,38.8108408,-94.9271868,Olathe South High School,"1640 East 151st Street, Olathe",3.1,38.8559977,-94.79239009999999
7,8,Gardner,Kansas,38.8108408,-94.9271868,Mission Trail Middle School,"1001 North Persimmon Drive, Olathe",4.0,38.89615440000001,-94.8681874
8,9,Gardner,Kansas,38.8108408,-94.9271868,Gardner Edgerton High School,"425 Waverly Road, Gardner",3.5,38.8170766,-94.9390861
9,10,Gardner,Kansas,38.8108408,-94.9271868,Oregon Trail Junior High School,"1800 West Dennis Avenue, Olathe",4.1,38.870938,-94.8472199
10,11,Gladstone,Missouri,39.2038918,-94.554677,Park Hill South High School,"4500 River Park Drive, Riverside",4.4,39.175437,-94.62601699999999
11,12,Gladstone,Missouri,39.2038918,-94.554677,North Kansas City High School,"620 East 23rd Avenue, North Kansas City",3.9,39.14611379999999,-94.57340470000001
12,13,Gladstone,Missouri,39.2038918,-94.554677,Staley High School,"2800 Northeast Shoal Creek Parkway, Kansas City",3.5,39.28831409999999,-94.54385239999999
13,14,Gladstone,Missouri,39.2038918,-94.554677,Liberty High School,"200 Blue Jay Drive, Liberty",3.3,39.2408652,-94.44903099999999
14,15,Gladstone,Missouri,39.2038918,-94.554677,Winnetonka High School,"5815 Northeast 48th Street, Kansas City",3.8,39.17943,-94.50950399999999
15,16,Grandview,Missouri,38.8858407,-94.5330096,Avila University,"11901 Wornall Road, Kansas City",4.1,38.91236430000001,-94.59146989999999
16,17,Grandview,Missouri,38.8858407,-94.5330096,Shawnee Mission South High School,"5800 West 107th Street, Overland Park",3.8,38.9373596,-94.6535918
17,18,Grandview,Missouri,38.8858407,-94.5330096,Lee's Summit West High School,"2600 Southwest Ward Road, Lee's Summit",3.8,38.87322699999999,-94.39903699999999
18,19,Grandview,Missouri,38.8858407,-94.5330096,Blue Valley North High School,"12200 Lamar Avenue, Overland Park",4.2,38.9068618,-94.6604547
19,20,Grandview,Missouri,38.8858407,-94.5330096,Grandview High School,"2300 High Grove Road, Grandview",3.9,38.8877195,-94.51394289999999
20,21,Independence,Missouri,39.0911161,-94.41550679999999,Blue Springs High School,"2000 Northwest Ashton Drive, Blue Springs",3.9,39.02667779999999,-94.2881512
21,22,Independence,Missouri,39.0911161,-94.41550679999999,Belmont Montessori Schools,"7900 Lee's Summit Road, Kansas City",1.0,38.97543519999999,-94.39535769999999
22,23,Independence,Missouri,39.0911161,-94.41550679999999,William Chrisman High School,"1223 North Noland Road, Independence",4.0,39.10364349999999,-94.4114956
23,24,Independence,Missouri,39.0911161,-94.41550679999999,Raytown High School,"6019 Blue Ridge Boulevard, Raytown",4.1,39.0133731,-94.4604584
24,25,Independence,Missouri,39.0911161,-94.41550679999999,Truman High School,"3301 South Noland Road, Independence",2.8,39.0595413,-94.4142916
25,26,Kansas City,Kansas,39.11553139999999,-94.62678729999999,Park Hill South High School,"4500 River Park Drive, Riverside",4.4,39.175437,-94.62601699999999
26,27,Kansas City,Kansas,39.11553139999999,-94.62678729999999,Shawnee Mission North High School,"7401 Johnson Drive, Overland Park",3.7,39.0208512,-94.6720849
27,28,Kansas City,Kansas,39.11553139999999,-94.62678729999999,North Kansas City High School,"620 East 23rd Avenue, North Kansas City",3.9,39.14611379999999,-94.57340470000001
28,29,Kansas City,Kansas,39.11553139999999,-94.62678729999999,Bishop Miege High School,"5041 Reinhardt Drive, Roeland Park",4.3,39.0356414,-94.62475859999999
29,30,Kansas City,Kansas,39.11553139999999,-94.62678729999999,Concorde Career College - Kansas City,"3239 Broadway Boulevard, Kansas City",3.1,39.06803,-94.58972
30,31,Kansas City,Missouri,39.0997265,-94.5785667,Park Hill South High School,"4500 River Park Drive, Riverside",4.4,39.175437,-94.62601699999999
31,32,Kansas City,Missouri,39.0997265,-94.5785667,North Kansas City High School,"620 East 23rd Avenue, North Kansas City",3.9,39.14611379999999,-94.57340470000001
32,33,Kansas City,Missouri,39.0997265,-94.5785667,Shawnee Mission North High School,"7401 Johnson Drive, Overland Park",3.7,39.0208512,-94.6720849
33,34,Kansas City,Missouri,39.0997265,-94.5785667,Bishop Miege High School,"5041 Reinhardt Drive, Roeland Park",4.3,39.0356414,-94.62475859999999
34,35,Kansas City,Missouri,39.0997265,-94.5785667,Concorde Career College - Kansas City,"3239 Broadway Boulevard, Kansas City",3.1,39.06803,-94.58972
35,36,Leawood,Kansas,38.966673,-94.6169012,Avila University,"11901 Wornall Road, Kansas City",4.1,38.91236430000001,-94.59146989999999
36,37,Leawood,Kansas,38.966673,-94.6169012,Johnson County Community College,"12345 College Boulevard, Overland Park",4.2,38.9237863,-94.73062379999999
37,38,Leawood,Kansas,38.966673,-94.6169012,Shawnee Mission South High School,"5800 West 107th Street, Overland Park",3.8,38.9373596,-94.6535918
38,39,Leawood,Kansas,38.966673,-94.6169012,Shawnee Mission North High School,"7401 Johnson Drive, Overland Park",3.7,39.0208512,-94.6720849
39,40,Leawood,Kansas,38.966673,-94.6169012,Blue Valley North High School,"12200 Lamar Avenue, Overland Park",4.2,38.9068618,-94.6604547
40,41,Lee's Summit,Missouri,38.9108408,-94.3821724,Lee's Summit West High School,"2600 Southwest Ward Road, Lee's Summit",3.8,38.87322699999999,-94.39903699999999
41,42,Lee's Summit,Missouri,38.9108408,-94.3821724,Belmont Montessori Schools,"7900 Lee's Summit Road, Kansas City",1.0,38.97543519999999,-94.39535769999999
42,43,Lee's Summit,Missouri,38.9108408,-94.3821724,The Lee's Summit High School,"400 Southeast Blue Parkway, Lee's Summit",4.3,38.9039849,-94.36637379999999
43,44,Lee's Summit,Missouri,38.9108408,-94.3821724,Grandview High School,"2300 High Grove Road, Grandview",3.9,38.8877195,-94.51394289999999
44,45,Lee's Summit,Missouri,38.9108408,-94.3821724,Raytown South High School,"8211 Sterling Avenue, Raytown",3.8,38.9736311,-94.4492444
45,46,Lenexa,Kansas,38.9536174,-94.73357089999999,Johnson County Community College,"12345 College Boulevard, Overland Park",4.2,38.9237863,-94.73062379999999
46,47,Lenexa,Kansas,38.9536174,-94.73357089999999,Shawnee Mission South High School,"5800 West 107th Street, Overland Park",3.8,38.9373596,-94.6535918
47,48,Lenexa,Kansas,38.9536174,-94.73357089999999,Avila University,"11901 Wornall Road, Kansas City",4.1,38.91236430000001,-94.59146989999999
48,49,Lenexa,Kansas,38.9536174,-94.73357089999999,Blue Valley Northwest High School,"13260 Switzer Road, Overland Park",4.1,38.8885806,-94.7032351
49,50,Lenexa,Kansas,38.9536174,-94.73357089999999,Saint Thomas Aquinas High School,"11411 Pflumm Road, Overland Park",3.8,38.92216369999999,-94.740104
50,51,Liberty,Missouri,39.2461138,-94.4191177,Liberty North High School,"1000 Northeast 104th Street, Liberty",2.9,39.2845963,-94.4327809
51,52,Liberty,Missouri,39.2461138,-94.4191177,Staley High School,"2800 Northeast Shoal Creek Parkway, Kansas City",3.5,39.28831409999999,-94.54385239999999
52,53,Liberty,Missouri,39.2461138,-94.4191177,Liberty High School,"200 Blue Jay Drive, Liberty",3.3,39.2408652,-94.44903099999999
53,54,Liberty,Missouri,39.2461138,-94.4191177,Winnetonka High School,"5815 Northeast 48th Street, Kansas City",3.8,39.17943,-94.50950399999999
